TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,
福井県,JR芦原温泉駅 エリア,52,,,,,,,,3.980769231,,,,,8,12,-0.076923077,,,,0,0.019230769,0.211538462,0.057692308,0.153846154,0.538461538,0.019230769,0,0,0,0.519230769,0.480769231,0.211538462,0.173076923,0.019230769,0.019230769,0.576923077,0.153846154,0.019230769,0.096153846,0.557692308,0,0,0.019230769,0.019230769,0.057692308,0,0,0,0.038461538,0.173076923,0.538461538,0,0.153846154,0.038461538,0.038461538,0,0.038461538,0,0.134615385,0,0,0.019230769,0.057692308,0.019230769,0.057692308,0.038461538,0.076923077,0.038461538,0.019230769,0.096153846,0.442307692,0.057692308,0,0.019230769,0.096153846,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.057692308,0.076923077,0.038461538,0,0,0.019230769,0.038461538,0.615384615,0,0.019230769,0,0,0.019230769,0.019230769,0,0.038461538,0.057692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,かつやま恐竜の森 エリア,748,,,,,,,,4.537433155,,,,,413,75,0.451871658,,,,0.012032086,0.163101604,0.298128342,0.18315508,0.193850267,0.120320856,0.017379679,0,0,0,0.455882353,0.506684492,0.421122995,0.176470588,0.032085561,0.02540107,0.344919786,0.070855615,0.089572193,0.073529412,0.225935829,0.009358289,0,0.045454545,0.018716578,0.318181818,0,0,0,0.10828877,0.197860963,0.298128342,0.02540107,0.213903743,0.70855615,0.034759358,0.009358289,0.004010695,0.017379679,0.070855615,0.022727273,0.004010695,0.006684492,0.034759358,0.045454545,0.012032086,0.089572193,0.03342246,0.069518717,0.084224599,0.102941176,0.121657754,0.082887701,0.089572193,0.056149733,0.04144385,0.073529412,0.029411765,0.022727273,0.009358289,0.001336898,0,0.00802139,0,0,0.004010695,0.006684492,0.00802139,0.001336898,0.030748663,0.032085561,0.10026738,0.052139037,0.016042781,0.028074866,0.061497326,0.050802139,0,0.009358289,0.028074866,0.029411765,0.114973262,0.024064171,0.038770053,0.050802139,0.152406417,0.069518717,0.021390374,0.006684492,0,0.001336898,0.00802139,0.009358289,0.004010695,0.001336898,0.005347594,0.001336898,0,0.00802139,0,0.002673797,0.001336898,0.001336898,0,0,0,0
福井県,福井駅前 エリア,209,,,,,,,,4.301435407,,,,,96,32,0.306220096,,,,0.009569378,0.076555024,0.162679426,0.153110048,0.291866029,0.282296651,0.023923445,0,0,0,0.411483254,0.545454545,0.363636364,0.157894737,0.043062201,0.028708134,0.406698565,0.320574163,0.019138756,0.052631579,0.33492823,0,0,0.043062201,0.014354067,0.086124402,0,0,0,0.086124402,0.148325359,0.354066986,0.066985646,0.234449761,0.133971292,0.057416268,0.028708134,0.009569378,0.009569378,0.124401914,0.014354067,0.004784689,0,0.033492823,0.052631579,0.09569378,0.066985646,0.033492823,0.062200957,0.076555024,0.090909091,0.148325359,0.081339713,0.066985646,0.057416268,0.028708134,0.071770335,0.043062201,0.038277512,0.019138756,0,0,0.004784689,0,0,0.004784689,0.004784689,0.004784689,0.009569378,0.038277512,0.04784689,0.138755981,0.033492823,0.009569378,0.023923445,0.023923445,0.282296651,0,0.019138756,0.004784689,0.004784689,0.052631579,0,0.038277512,0.028708134,0.09569378,0.052631579,0.014354067,0,0,0,0,0.004784689,0,0,0,0,0.004784689,0.023923445,0,0,0.004784689,0,0.004784689,0,0,0
福井県,大本山 永平寺 エリア,465,,,,,,,,4.406451613,,,,,203,71,0.283870968,,,,0.008602151,0.101075269,0.131182796,0.169892473,0.348387097,0.195698925,0.043010753,0,0,0,0.460215054,0.516129032,0.406451613,0.215053763,0.023655914,0.043010753,0.311827957,0.122580645,0.058064516,0.094623656,0.361290323,0.015053763,0,0.077419355,0.012903226,0.043010753,0,0,0,0.129032258,0.253763441,0.402150538,0.047311828,0.610752688,0.202150538,0.038709677,0.025806452,0.004301075,0.021505376,0.135483871,0.021505376,0.002150538,0,0.038709677,0.032258065,0.034408602,0.088172043,0.019354839,0.079569892,0.103225806,0.083870968,0.111827957,0.088172043,0.07311828,0.07311828,0.047311828,0.053763441,0.03655914,0.030107527,0.015053763,0.002150538,0,0.012903226,0.002150538,0.002150538,0,0.017204301,0.010752688,0.006451613,0.03655914,0.04516129,0.137634409,0.049462366,0.010752688,0.015053763,0.03655914,0.049462366,0,0.006451613,0.023655914,0.023655914,0.088172043,0.027956989,0.030107527,0.034408602,0.137634409,0.077419355,0.027956989,0.004301075,0.004301075,0,0.008602151,0.012903226,0.002150538,0,0.010752688,0.002150538,0,0.017204301,0.002150538,0,0.004301075,0,0.004301075,0,0,0
福井県,あわら湯のまち エリア,439,,,,,,,,4.40546697,,,,,200,69,0.298405467,,,,0.004555809,0.088838269,0.120728929,0.150341686,0.280182232,0.291571754,0.059225513,0,0,0,0.485193622,0.4738041,0.751708428,0.13667426,0.011389522,0.009111617,0.091116173,0.025056948,0.036446469,0.066059226,0.330296128,0.043280182,0,0.10022779,0.025056948,0.141230068,0,0,0,0.492027335,0.59453303,0.510250569,0.020501139,0.198177677,0.230068337,0.041002278,0.006833713,0.006833713,0.01594533,0.0523918,0.018223235,0,0.004555809,0.018223235,0.018223235,0.022779043,0.050113895,0.013667426,0.06833713,0.066059226,0.097949886,0.177676538,0.079726651,0.070615034,0.066059226,0.063781321,0.072892938,0.036446469,0.041002278,0.002277904,0,0,0.004555809,0,0,0,0.018223235,0.004555809,0.006833713,0.020501139,0.011389522,0.075170843,0.027334852,0.006833713,0.025056948,0.075170843,0.186788155,0.002277904,0.029612756,0.018223235,0.018223235,0.109339408,0.009111617,0.047835991,0.047835991,0.109339408,0.070615034,0.025056948,0.009111617,0.004555809,0,0.002277904,0.006833713,0,0.002277904,0.002277904,0.009111617,0,0.006833713,0,0,0,0.002277904,0,0.002277904,0,0
福井県,道の駅「越前」 エリア,113,,,,,,,,4.168141593,,,,,37,24,0.115044248,,,,0,0.061946903,0.088495575,0.230088496,0.327433628,0.256637168,0.03539823,0,0,0,0.477876106,0.504424779,0.345132743,0.168141593,0.017699115,0.026548673,0.442477876,0.115044248,0.07079646,0.061946903,0.486725664,0,0,0.03539823,0,0.115044248,0,0,0,0.079646018,0.283185841,0.424778761,0.044247788,0.194690265,0.132743363,0.159292035,0.03539823,0,0.044247788,0.088495575,0,0,0,0.132743363,0.017699115,0,0.115044248,0,0.03539823,0.097345133,0.061946903,0.17699115,0.10619469,0.07079646,0.061946903,0.053097345,0.03539823,0.03539823,0.008849558,0,0,0,0,0,0,0,0,0,0,0.026548673,0,0.017699115,0.026548673,0.026548673,0.026548673,0.017699115,0.265486726,0,0,0.097345133,0.026548673,0.115044248,0.03539823,0.026548673,0.026548673,0.123893805,0.07079646,0.026548673,0,0,0,0,0.03539823,0,0,0,0,0,0.008849558,0,0,0,0,0,0,0,0
福井県,越前海岸 北部 エリア,15,,,,,,,,4.266666667,,,,,5,2,0.2,,,,0,0.2,0.133333333,0.2,0.333333333,0.066666667,0.066666667,0,0,0,0.533333333,0.4,0.466666667,0.2,0.066666667,0,0.266666667,0.066666667,0.066666667,0,0.2,0,0,0.066666667,0,0.266666667,0,0,0,0.066666667,0.066666667,0.333333333,0.066666667,0.2,0.133333333,0,0.066666667,0,0.2,0,0,0.066666667,0,0.2,0,0,0.133333333,0,0.066666667,0.066666667,0.2,0,0.066666667,0.2,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0.066666667,0.2,0,0,0.266666667,0.066666667,0,0,0.066666667,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,小浜 エリア（宿泊施設）,50,,,,,,,,4.28,,,,,18,6,0.24,,,,0,0.02,0.12,0.2,0.42,0.14,0.1,0,0,0,0.48,0.52,0.7,0.16,0.04,0.1,0,0.22,0.06,0.12,0.28,0.02,0,0.06,0.02,0.1,0,0,0,0.36,0.1,0.5,0.06,0.18,0,0,0.02,0,0.12,0.22,0.02,0.02,0,0.02,0.16,0.2,0.02,0.02,0.02,0.16,0.16,0.16,0.18,0.06,0.04,0.02,0.02,0.02,0.04,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0.1,0.02,0,0.04,0,0,0,0.02,0.02,0.02,0.08,0,0.02,0.26,0.08,0.26,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
福井県,道の駅「三方五湖」  エリア,64,,,,,,,,4.109375,,,,,20,14,0.09375,,,,0,0.03125,0.171875,0.15625,0.359375,0.25,0.03125,0,0,0,0.375,0.578125,0.28125,0.09375,0.015625,0.03125,0.578125,0.15625,0.046875,0.109375,0.40625,0.015625,0,0.046875,0,0.078125,0,0,0,0.109375,0.203125,0.421875,0.125,0.265625,0.09375,0.078125,0,0,0.0625,0.125,0,0,0.015625,0.1875,0.046875,0.046875,0.09375,0.015625,0.078125,0.171875,0.03125,0.09375,0.0625,0.09375,0.046875,0,0.046875,0,0.03125,0,0,0,0,0,0,0.015625,0,0,0,0.015625,0.0625,0.046875,0.015625,0,0,0.046875,0.296875,0,0,0.0625,0.03125,0.046875,0.015625,0.078125,0.0625,0.078125,0.09375,0,0,0,0,0.015625,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,道の駅「南えちぜん山海里」 エリア,112,,,,,,,,4.321428571,,,,,54,22,0.285714286,,,,0,0.0625,0.178571429,0.178571429,0.392857143,0.160714286,0.026785714,0,0,0,0.544642857,0.428571429,0.303571429,0.080357143,0.026785714,0.071428571,0.517857143,0.160714286,0.044642857,0.026785714,0.383928571,0,0,0.035714286,0.008928571,0.196428571,0,0,0,0.0625,0.089285714,0.321428571,0.107142857,0.178571429,0.232142857,0.125,0.053571429,0,0.017857143,0.107142857,0,0,0,0.125,0.080357143,0.0625,0.080357143,0.017857143,0.044642857,0.133928571,0.026785714,0.107142857,0.205357143,0.044642857,0.0625,0.035714286,0.071428571,0.017857143,0.008928571,0,0,0,0,0,0,0,0,0,0,0.026785714,0.008928571,0.035714286,0.035714286,0.008928571,0.044642857,0.017857143,0.196428571,0,0,0.089285714,0,0.116071429,0,0.044642857,0.044642857,0.151785714,0.107142857,0.035714286,0.017857143,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
