対象県（富山/石川/福井）	アンケート回答日	居住都道府県	性別	年代	職業	世帯年収	同伴者	満足度（旅行全体）	満足度理由	おすすめ度	回答場所
福井	2025/4/2 23:01	千葉県	男	60代		600万円以上 700万円未満	自分ひとり	4	綺麗で大浴場がある	6	JR芦原温泉駅 エリア
福井	2025/4/2 23:01	三重県	男	30代		400万円以上 500万円未満	自分ひとり	5		10	かつやま恐竜の森 エリア
福井	2025/4/2 21:59	福井県	女	30代		700万円以上 800万円未満	小学生以下連れの家族	4	上記と同じ理由。	9	はたや記念館 ゆめおーれ勝山 エリア
福井	2025/4/2 20:15	福井県	女	60代		200万円以上 300万円未満	友人	4		6	越前そばの里 エリア
福井	2025/4/2 19:17	福島県	男	20代		700万円以上 800万円未満	恋人	5		10	福井駅前 エリア
福井	2025/4/3 23:41	大阪府	女	60代		200万円以上 300万円未満	夫婦2人	4		7	大本山 永平寺 エリア
福井	2025/4/3 22:50	埼玉県	男	50代		700万円以上 800万円未満	中学生以上連れの家族	5		7	あわら湯のまち エリア
福井	2025/4/3 21:35	愛知県	女	60代		600万円以上 700万円未満	夫婦2人	5	次回は温泉に入りたいと思いました。	10	道の駅「越前」 エリア
福井	2025/4/3 20:45	神奈川県	女	50代		200万円以上 300万円未満	親	5		10	あわら湯のまち エリア
福井	2025/4/3 20:17	兵庫県	男	30代		700万円以上 800万円未満	小学生以下連れの家族	4		8	越前海岸 北部 エリア
福井	2025/4/3 20:14	大阪府	男	40代		600万円以上 700万円未満	自分ひとり	5	自然が近い、宿泊客が少なく静か、風呂もゆっくり貸切状態、スタッフの接客が良い、客室のソファや椅子などがくつろげる。	9	小浜 エリア（宿泊施設）
福井	2025/4/3 20:12	三重県	女	60代		100万円未満	友人	4		8	道の駅「三方五湖」  エリア
福井	2025/4/3 20:08	兵庫県	女	50代		500万円以上 600万円未満	自分ひとり	4		4	道の駅「越前」 エリア
福井	2025/4/3 19:03	大阪府	男	30代		800万円以上 900万円未満	夫婦2人	5		7	道の駅「南えちぜん山海里」 エリア
福井	2025/4/3 17:35	京都府	男	60代		500万円以上 600万円未満	夫婦と孫	4		8	かずら橋 エリア
福井	2025/4/3 17:05	岐阜県	女	60代		300万円以上 400万円未満	その他家族	4		5	道の駅「三方五湖」  エリア
福井	2025/4/3 17:00	福井県	女	30代		400万円以上 500万円未満	親	4		5	道の駅「若狭おばま」 エリア
福井	2025/4/3 16:16	福井県	女	40代		600万円以上 700万円未満	親	4		10	丸岡城 エリア
福井	2025/4/3 15:55	兵庫県	女	60代		分からない/無回答	友人	4		8	北潟湖 エリア
福井	2025/4/3 15:18	大阪府	女	70代		100万円未満	夫婦2人	4		8	名田庄 エリア
福井	2025/4/3 15:07	兵庫県	女	50代		700万円以上 800万円未満	夫婦2人	5		8	大本山 永平寺 エリア
福井	2025/4/3 14:56	富山県	女	50代		500万円以上 600万円未満	夫婦2人	5	居心地よく、綺麗で、ゆっくり休憩できました。	10	道の駅「禅の里」 エリア
福井	2025/4/3 14:32	福井県	女	50代		100万円未満	夫婦2人	5		8	JR美浜駅 エリア
福井	2025/4/3 14:27	三重県	女	60代		200万円以上 300万円未満	夫婦2人	5		10	道の駅「恐竜渓谷かつやま」 エリア
福井	2025/4/3 14:26	福井県	男	40代		400万円以上 500万円未満	夫婦2人	5		8	あわら湯のまち エリア
福井	2025/4/3 14:10	福井県	女	20代		分からない/無回答	自分ひとり	3		9	あわら湯のまち エリア
福井	2025/4/3 14:00	兵庫県	男	50代		700万円以上 800万円未満	夫婦2人	5		8	大本山 永平寺 エリア
福井	2025/4/3 13:46	大阪府	男	30代		800万円以上 900万円未満	夫婦2人	5		10	かつやま恐竜の森 エリア
福井	2025/4/3 13:34	東京都	女	40代		500万円以上 600万円未満	小学生以下連れの家族	5	博物館はもちろん恐竜を満喫できた。触ってもいいものもあり、いい体験をさせてあげられた。研究体験も大変面白かった。テンポよく色々体験できてよかった。	10	かつやま恐竜の森 エリア
福井	2025/4/3 13:16	埼玉県	女	20代		300万円以上 400万円未満	その他家族	4		9	一乗谷朝倉氏遺跡 エリア
福井	2025/4/3 13:10	愛知県	男	40代		分からない/無回答	職場の同僚	5		8	ふくい鮮いちば エリア
福井	2025/4/3 13:06	福井県	女	60代		100万円以上 200万円未満	友人	3	売り場が狭い	7	道の駅「禅の里」 エリア
福井	2025/4/3 12:55	福井県	女	60代		分からない/無回答	小学生以下連れの家族	4		7	花の駅 ゆりの里公園 エリア
福井	2025/4/3 12:50	福井県	男	60代		600万円以上 700万円未満	夫婦2人	4		8	道の駅「若狭おばま」 エリア
福井	2025/4/3 12:45	福井県	女	60代		400万円以上 500万円未満	夫婦2人	4	他の水族館とひと味違う	9	越前松島水族館 エリア
福井	2025/4/3 12:28	福井県	男	60代		600万円以上 700万円未満	夫婦2人	4		7	若狭フィッシャーマンズワーフ エリア
福井	2025/4/3 12:28	福島県	男	60代		100万円未満	小学生以下連れの家族	4		7	かつやま恐竜の森 エリア
福井	2025/4/3 12:28	福井県	女	50代		100万円未満	夫婦2人	4		8	若狭フィッシャーマンズワーフ エリア
福井	2025/4/3 12:23	福井県	女	50代		100万円未満	夫婦2人	4		8	御食国若狭おばま食文化館 エリア
福井	2025/4/3 12:19	福井県	男	60代		500万円以上 600万円未満	夫婦2人	4		9	北ノ庄 エリア
福井	2025/4/3 11:51	福井県	男	60代		600万円以上 700万円未満	夫婦2人	4		7	御食国若狭おばま食文化館 エリア
福井	2025/4/3 11:33	和歌山県	男	10歳未満		300万円以上 400万円未満	小学生以下連れの家族	4		6	かつやま恐竜の森 エリア
